City,State,Lat,Lng,ID
Ciudad Melchor Muzquiz,Coahuila,27.8667,-101.5,1484736113
Galeana,Nuevo León,24.8333,-100.0667,1484336701
Juan Rodriguez Clara,Veracruz,18.0,-95.4,1484000401
Empalme,Sonora,27.9617,-110.8125,1484366250
Zacatelco,Tlaxcala,19.2167,-98.2333,1484460521
Santa Clara del Cobre,Michoacán,19.405,-101.638,1484589302
San Felipe Orizatlan,Hidalgo,21.1719,-98.6064,1484942420
Xico,Veracruz,19.417,-97.0,1484011085
Zacualtipan,Hidalgo,20.65,-98.65,1484806928
Cananea,Sonora,30.9828,-110.3017,1484752107
Tlapa de Comonfort,Guerrero,17.5461,-98.5764,1484110723
San Juan Cancuc,Chiapas,16.9333,-92.3833,1484128452
Ameca,Jalisco,20.5486,-104.0431,1484716155
Tlalixcoyan,Veracruz,18.8031,-96.0611,1484527678
Calpulalpan,Tlaxcala,19.5869,-98.5683,1484814346
Jalapa,Tabasco,17.7,-92.8,1484336788
Mixquiahuala de Juarez,Hidalgo,20.2311,-99.2131,1484223912
Melchor Ocampo,México,19.7083,-99.1444,1484243108
Villaflores,Chiapas,16.2355,-93.2677,1484602239
Tuxpan,Jalisco,19.5539,-103.3756,1484236445
Perote,Veracruz,19.5619,-97.2419,1484668149
Paracho de Verduzco,Michoacán,19.65,-102.0667,1484536308
Progreso,Yucatán,21.2828,-89.6636,1484340626
Mariano Escobedo,Veracruz,18.9167,-97.1333,1484215926
Salvatierra,Guanajuato,20.2156,-100.8961,1484878589
Ciudad Manuel Doblado,Guanajuato,20.7303,-101.9533,1484254805
Sayula,Jalisco,19.8667,-103.6167,1484178547
Jaral del Progreso,Guanajuato,20.3667,-101.0667,1484182390
Tomatlan,Jalisco,19.9369,-105.25,1484507470
Santiago Juxtlahuaca,Oaxaca,17.3333,-98.0167,1484380988
Coatepec Harinas,México,18.9,-99.7167,1484641903
Zacatepec,Morelos,18.6833,-99.1833,1484549065
Berriozabal,Chiapas,16.8003,-93.2733,1484051098
Miahuatlan de Porfirio Diaz,Oaxaca,16.3167,-96.5833,1484776246
Tamuin,San Luis Potosí,22.0,-98.7833,1484269723
Tonala,Chiapas,16.0914,-93.7518,1484944309
Ciudad de Allende,Nuevo León,25.2833,-100.0167,1484216013
Tangancicuaro de Arista,Michoacán,19.887,-102.208,1484528763
Soteapan,Veracruz,18.2333,-94.8667,1484716801
Rio Grande,Zacatecas,23.8225,-103.0361,1484276798
Tenosique,Tabasco,17.4756,-91.4225,1484303350
Ocuilan de Arteaga,México,19.0,-99.4,1484570544
Santa Ana Nextlalpan,México,19.7167,-99.0667,1484696225
La Huacana,Michoacán,18.9625,-101.8069,1484078900
Tepeji del Rio de Ocampo,Hidalgo,19.9039,-99.3414,1484352351
Acatlan de Osorio,Puebla,18.2086,-98.0575,1484340141
San Juan Evangelista,Veracruz,17.8833,-95.1333,1484667360
Parras de la Fuente,Coahuila,25.4403,-102.1792,1484273682
Zacatlan,Puebla,19.9319,-97.96,1484132726
Tlanchinol,Hidalgo,19.9892,-98.6786,1484386874
Ixtapan de la Sal,México,18.8333,-99.6833,1484821151
Paso de Ovejas,Veracruz,19.285,-96.44,1484005936
Tulum,Quintana Roo,20.2119,-87.4658,1484002889
Panuco,Veracruz,22.05,-98.1833,1484059135
Temascalapa,México,19.8,-98.9,1484792221
Villanueva,Zacatecas,22.3536,-102.8831,1484244113
San Felipe,Guanajuato,21.4833,-101.2167,1484279509
Ticul,Yucatán,20.3953,-89.5339,1484056090
Sayula de Aleman,Veracruz,17.8833,-94.95,1484073387
Putla Villa de Guerrero,Oaxaca,17.0167,-97.9167,1484503444
Nueva Italia de Ruiz,Michoacán,19.0194,-102.1089,1484876293
Huixtla,Chiapas,15.1383,-92.4658,1484012568
Ciudad Sabinas Hidalgo,Nuevo León,26.5,-100.1833,1484159329
Paso del Macho,Veracruz,18.9667,-96.7167,1484203573
Turicato,Michoacán,19.05,-101.4167,1484580353
El Oro de Hidalgo,México,19.8008,-100.1314,1484677445
Amatenango de la Frontera,Chiapas,15.5333,-92.0833,1484343885
Amecameca de Juarez,México,19.75,-99.1711,1484353804
Tecozautla,Hidalgo,20.5333,-99.6333,1484766704
Cuauhtemoc,Colima,19.3281,-103.6028,1484009228
Tequila,Jalisco,20.8828,-103.8367,1484763049
Tancitaro,Michoacán,19.3378,-102.3625,1484944433
